image,method,params,SSIM,SSIM_C,compression_ratio
img1,resize,1024_973_LANCZOS,0.9861628082238074,0.9865224655200072,1.1071964308214728
img1,resize,1024_922_LANCZOS,0.9808514996348542,0.9813766081435863,1.2326007483886134
img1,resize,1024_819_LANCZOS,0.9680663323621431,0.9689588186827569,1.561341755037984
img1,resize,1024_717_LANCZOS,0.9532045408129981,0.95455310850048,2.038693797560397
img1,resize,1024_614_LANCZOS,0.9348107041947227,0.9367715525147808,2.778296696017734
img1,resize,1024_512_LANCZOS,0.9108974240471603,0.9135724335150964,3.9997940204911466
img1,resize,1024_973_BICUBIC,0.9787304418401012,0.97944854122072,1.1071964308214728
img1,resize,1024_922_BICUBIC,0.973395462864321,0.974265222336979,1.2326007483886134
img1,resize,1024_819_BICUBIC,0.9597584071152396,0.9610440658643338,1.561341755037984
img1,resize,1024_717_BICUBIC,0.9437697257687226,0.9455545414105545,2.038693797560397
img1,resize,1024_614_BICUBIC,0.9241591379766149,0.9265547400655829,2.778296696017734
img1,resize,1024_512_BICUBIC,0.8977485133417876,0.9008985772374194,3.9997940204911466
img1,PNG,1,1.0,1.0,1.9947053579241452
img1,PNG,9,1.0,1.0,1.9947053579241452
img1,JPEG,100,0.9993001798434242,0.9862550303231763,3.927661593397675
img1,JPEG,95,0.9856495790960403,0.9659278193941349,8.313069812427658
img1,JPEG,90,0.9692180794071346,0.9479238571870333,12.488862069102415
img1,JPEG,85,0.9557975224940852,0.9339466375525075,16.247531195768946
img1,JPEG,80,0.9450039924103544,0.922985312131717,19.635243522604565
img1,JPEG,70,0.9288233351609365,0.9056133886860116,25.637786163111954
img1,JPEG,50,0.9032467164531357,0.880063703941552,36.48594857282038
img2,resize,1024_973_LANCZOS,0.9648136049020485,0.9661302200259835,1.1071964308214728
img2,resize,1024_922_LANCZOS,0.950753849188998,0.9526346900275587,1.2326007483886134
img2,resize,1024_819_LANCZOS,0.9185868628037794,0.9218850169338152,1.561341755037984
img2,resize,1024_717_LANCZOS,0.8825726569295615,0.8875266099386323,2.038693797560397
img2,resize,1024_614_LANCZOS,0.8408713753162064,0.8477939410601594,2.778296696017734
img2,resize,1024_512_LANCZOS,0.7926101058079382,0.801802991822626,3.9997940204911466
img2,resize,1024_973_BICUBIC,0.9453537448677013,0.9477507739208327,1.1071964308214728
img2,resize,1024_922_BICUBIC,0.9313313166877989,0.9343113332016216,1.2326007483886134
img2,resize,1024_819_BICUBIC,0.8984029161192192,0.9028814835547619,1.561341755037984
img2,resize,1024_717_BICUBIC,0.8613175075297319,0.8674778878258395,2.038693797560397
img2,resize,1024_614_BICUBIC,0.818788882413189,0.8269790626164392,2.778296696017734
img2,resize,1024_512_BICUBIC,0.7685005061809282,0.7790045256659184,3.9997940204911466
img2,PNG,1,1.0,1.0,1.479178392530431
img2,PNG,9,1.0,1.0,1.479178392530431
img2,JPEG,100,0.9995689782830441,0.9771252138551123,2.8958205608302543
img2,JPEG,95,0.9843171337176798,0.954306043317508,5.569539976523453
img2,JPEG,90,0.9543460280971882,0.9251407859026397,7.904530972028183
img2,JPEG,85,0.926504412444497,0.8997918495065922,10.120391460448596
img2,JPEG,80,0.9041407956178128,0.8793948106417314,12.189126669533984
img2,JPEG,70,0.8714897910116816,0.8494490909460777,15.999786383472184
img2,JPEG,50,0.8281977329670535,0.8089497887084787,23.022914730270717
img5,resize,1024_973_LANCZOS,0.9922311288422998,0.9912341199067707,1.1071964308214728
img5,resize,1024_922_LANCZOS,0.9893656239650515,0.9880518542399717,1.2326007483886134
img5,resize,1024_819_LANCZOS,0.9823388312933707,0.980266238686363,1.561341755037984
img5,resize,1024_717_LANCZOS,0.9732056954203266,0.970374893964058,2.038693797560397
img5,resize,1024_614_LANCZOS,0.9604896131566258,0.9568934598948019,2.778296696017734
img5,resize,1024_512_LANCZOS,0.9420102108354079,0.9376502924744278,3.9997940204911466
img5,resize,1024_973_BICUBIC,0.9875199266545305,0.9862060886099253,1.1071964308214728
img5,resize,1024_922_BICUBIC,0.9843046009155231,0.9826758860433853,1.2326007483886134
img5,resize,1024_819_BICUBIC,0.9762472560100623,0.9738984079567334,1.561341755037984
img5,resize,1024_717_BICUBIC,0.965778038091676,0.9626752970795801,2.038693797560397
img5,resize,1024_614_BICUBIC,0.9513724985273734,0.9475549838915094,2.778296696017734
img5,resize,1024_512_BICUBIC,0.9298780298000563,0.9253687659183149,3.9997940204911466
img5,PNG,1,1.0,1.0,2.501749198565649
img5,PNG,9,1.0,1.0,2.501749198565649
img5,JPEG,100,0.9996039008671035,0.9859016199437919,3.988040121500398
img5,JPEG,95,0.9944876896740237,0.9766410369947457,7.624825787561414
img5,JPEG,90,0.9870743725219637,0.9680966641188188,11.030826036797682
img5,JPEG,85,0.9804620833735155,0.9616846044121111,13.947469462856636
img5,JPEG,80,0.9748587462786317,0.9562319995177485,16.45378133679239
img5,JPEG,70,0.965815687834091,0.9472838722842827,20.866850187390135
img5,JPEG,50,0.9522615222705704,0.9340182734077174,28.350339308405655
img4,resize,1024_973_LANCZOS,0.9769626482262909,0.9784135537309138,1.1071964308214728
img4,resize,1024_922_LANCZOS,0.9679864570046871,0.9700585393277982,1.2326007483886134
img4,resize,1024_819_LANCZOS,0.9464246427114134,0.9499947599290458,1.561341755037984
img4,resize,1024_717_LANCZOS,0.9216121238398147,0.9268351885416329,2.038693797560397
img4,resize,1024_614_LANCZOS,0.8915326428782616,0.8985813437915938,2.778296696017734
img4,resize,1024_512_LANCZOS,0.855186463434878,0.8639657602069755,3.9997940204911466
img4,resize,1024_973_BICUBIC,0.963701461156288,0.9662554754985964,1.1071964308214728
img4,resize,1024_922_BICUBIC,0.9546040750187109,0.9577181977391253,1.2326007483886134
img4,resize,1024_819_BICUBIC,0.9320818329699997,0.9366531732537454,1.561341755037984
img4,resize,1024_717_BICUBIC,0.906215472564231,0.912371403784309,2.038693797560397
img4,resize,1024_614_BICUBIC,0.8753211485104423,0.8831271295341757,2.778296696017734
img4,resize,1024_512_BICUBIC,0.8369634858968186,0.8463817968675317,3.9997940204911466
img4,PNG,1,1.0,1.0,1.6388446646856076
img4,PNG,9,1.0,1.0,1.6388446646856076
img4,JPEG,100,0.999317482995394,0.9724583114403177,3.2809745566049053
img4,JPEG,95,0.9783759038054468,0.9405259837889267,6.760760799484204
img4,JPEG,90,0.9489139694565232,0.9110496834289384,10.264902434249167
img4,JPEG,85,0.9262885196034241,0.8899728616320407,13.598265733540247
img4,JPEG,80,0.9095650773007302,0.8741972208473386,16.619463977219297
img4,JPEG,70,0.8859453823905241,0.8511413751371375,21.964223623300725
img4,JPEG,50,0.8508493479447345,0.8166210191300157,32.1638157558407
img3,resize,1024_973_LANCZOS,0.9874151088141255,0.9872387604774584,1.1071964308214728
img3,resize,1024_922_LANCZOS,0.9824574500638447,0.9822029785544975,1.2326007483886134
img3,resize,1024_819_LANCZOS,0.9707751118930209,0.9703584521127094,1.561341755037984
img3,resize,1024_717_LANCZOS,0.9568386726902004,0.9561888211808808,2.038693797560397
img3,resize,1024_614_LANCZOS,0.9388666788077352,0.9379129075109924,2.778296696017734
img3,resize,1024_512_LANCZOS,0.9139681584841218,0.9125429690372687,3.9997940204911466
img3,resize,1024_973_BICUBIC,0.9802037818100304,0.9799858205425785,1.1071964308214728
img3,resize,1024_922_BICUBIC,0.9749860506600905,0.9746779996681649,1.2326007483886134
img3,resize,1024_819_BICUBIC,0.9622841166650559,0.9617748422336807,1.561341755037984
img3,resize,1024_717_BICUBIC,0.9467890111107363,0.9460099537040697,2.038693797560397
img3,resize,1024_614_BICUBIC,0.926556741106466,0.925489237386545,2.778296696017734
img3,resize,1024_512_BICUBIC,0.8973594488685157,0.8958242625089295,3.9997940204911466
img3,PNG,1,1.0,1.0,1.6028555837096603
img3,PNG,9,1.0,1.0,1.6028555837096603
img3,JPEG,100,0.9995992167063641,0.9855406952532991,2.9932063019637023
img3,JPEG,95,0.9892299346932083,0.9693623196059891,5.737096565345609
img3,JPEG,90,0.9751013972471674,0.9545048267348796,8.30015065843806
img3,JPEG,85,0.9637938536110798,0.9433892580022998,10.547325434026032
img3,JPEG,80,0.9549822230697352,0.934329753084965,12.509671210651057
img3,JPEG,70,0.9415038163019857,0.9205948431786793,15.959768044767563
img3,JPEG,50,0.9204777485668457,0.8993173124015775,22.084031843646013

